GKA,-6.081689835,145.3919983
MAG,-5.207079887,145.7890015
HGU,-5.826789856,144.2960052
LAE,-6.569803,146.725977
POM,-9.443380356,147.2200012
WWK,-3.583830118,143.6690063
UAK,61.16049957,-45.42599869
GOH,64.19090271,-51.67810059
SFJ,67.0122219,-50.71160316
THU,76.53119659,-68.70320129
AEY,65.66000366,-18.0727005
EGS,65.28330231,-14.40139961
HFN,64.295601,-15.2272
HZK,65.952301,-17.426001
IFJ,66.05809784,-23.13529968
KEF,63.98500061,-22.60560036
PFJ,65.555801,-23.965
RKV,64.12999725,-21.94059944
SIJ,66.133301,-18.9167
VEY,63.42430115,-20.27890015
YAM,46.48500061,-84.50939941
YAY,51.39189911,-56.08309937
YAZ,49.079833,-125.775583
YBB,68.534401,-89.808098
YBC,49.13249969,-68.20439911
YBG,48.33060074,-70.99639893
YBK,64.29889679,-96.07779694
YBL,49.95080185,-125.2710037
YBR,49.91,-99.951897
YCB,69.10810089,-105.1380005
YCD,49.05497022,-123.8698626
YCG,49.29639816,-117.6320038
YCH,47.007801,-65.449203
YCL,47.990799,-66.330299
YCO,67.816704,-115.143997
YCT,52.07500076,-111.4449997
YCW,49.15280151,-121.939003
YCY,70.48609924,-68.51670074
YZS,64.19329834,-83.35939789
YDA,64.04309845,-139.128006
YDB,61.37110138,-139.0410004
YDF,49.21080017,-57.39139938
YDL,58.42219925,-130.0319977
YDN,51.10079956,-100.052002
YDQ,55.74229813,-120.1829987
YEG,53.30970001,-113.5800018
YEK,61.09420013,-94.07080078
YEN,49.21030045,-102.9660034
YET,53.57889938,-116.4649963
YEU,79.99469757,-85.81420136
YEV,68.30419922,-133.4830017
YFB,63.756402,-68.555801
YFC,45.8689003,-66.53720093
YFE,48.74610138,-69.09719849
YFO,54.67810059,-101.6819992
YFR,61.18080139,-113.6900024
YFS,61.7602005,-121.2369995
YGK,44.22529984,-76.59690094
YGL,53.62530136,-77.70420074
YGP,48.77529907,-64.47859955
YGQ,49.77830124,-86.93939972
YGR,47.42470169,-61.77809906
YHB,52.81669998,-102.310997
YHD,49.831699,-92.744202
YHI,70.76280212,-117.8059998
YHK,68.63559723,-95.84970093
YHM,43.17359924,-79.93499756
YHU,45.51750183,-73.41690063
YHY,60.83969879,-115.7829971
YHZ,44.88079834,-63.50859833
YIB,48.77389908,-91.63860321
YIO,72.6832962,-77.96669769
YJN,45.29439926,-73.28109741
YJT,48.5442009,-58.54999924
YKA,50.70220184,-120.4440002
YKF,43.46080017,-80.37860107
YKL,54.80530167,-66.80529785
YKY,51.51750183,-109.1809998
YKZ,43.86220169,-79.37000275
YLD,47.81999969,-83.34670258
YLJ,54.12530136,-108.5230026
YLL,53.30920029,-110.072998
YLT,82.51779938,-62.2806015
YLW,49.95610046,-119.3779984
YMA,63.61640167,-135.8679962
YMJ,50.33029938,-105.5589981
YMM,56.65330124,-111.2220001
YMO,51.29109955,-80.60780334
YMW,46.27280045,-75.99060059
YMX,45.679501,-74.038696
YNA,50.18999863,-61.78919983
YND,45.52170181,-75.56359863
YNM,49.76169968,-77.80280304
YOC,67.57060242,-139.8390045
YOD,54.40499878,-110.2789993
YOJ,58.62139893,-117.1650009
YOW,45.32249832,-75.66919708
YPA,53.21419907,-105.6729965
YPE,56.226898,-117.446999
YPG,49.903099,-98.273817
YPL,51.44639969,-90.21420288
YPN,49.83639908,-64.28859711
YPQ,44.22999954,-78.36329651
YPR,54.28609848,-130.4450073
YPY,58.76720047,-111.1169968
YQA,44.97470093,-79.30329895
YQB,46.7911,-71.393303
YQF,52.18220139,-113.8939972
YQG,42.27560043,-82.95559692
YQH,60.11640167,-128.8220062
YQK,49.78829956,-94.36309814
YQL,49.63029861,-112.8000031
YQM,46.11220169,-64.6785965
YQQ,49.71080017,-124.887001
YQR,50.43190002,-104.6660004
YQT,48.37189865,-89.32389832
YQU,55.17969894,-118.8850021
YQV,51.26470184,-102.461998
YQW,52.76919937,-108.2440033
YQX,48.93690109,-54.56809998
YQY,46.1614,-60.047798
YQZ,53.02610016,-122.5100021
YRB,74.71690369,-94.9693985
YRI,47.76440048,-69.58470154
YRJ,48.52000046,-72.26560211
YRM,52.42969894,-114.9039993
YRT,62.81140137,-92.11579895
YSB,46.625,-80.79889679
YSC,45.43859863,-71.69139862
YSJ,45.31610107,-65.89029694
YSM,60.02030182,-111.961998
YSR,72.982201,-84.613602
YSU,46.44060135,-63.83359909
YSY,71.99389648,-125.2429962
YTE,64.23000336,-76.52670288
YTH,55.80110168,-97.86419678
YTR,44.1189003,-77.52809906
YTS,48.56969833,-81.37670136
YTZ,43.627499,-79.396202
YUB,69.4332962,-133.026001
YUL,45.47060013,-73.74079895
YUT,66.52140045,-86.22470093
YUX,68.77610016,-81.2425
YUY,48.20610046,-78.83560181
YVC,55.15140152,-105.262001
YVG,53.35580063,-110.8239975
YVM,67.54579926,-64.03140259
YVO,48.05329895,-77.78279877
YVP,58.09609985,-68.42690277
YVQ,65.28160095,-126.7979965
YVR,49.19390106,-123.1839981
YVT,55.84189987,-108.4179993
YVV,44.7458,-81.107201
YWA,45.95220184,-77.31919861
YWG,49.90999985,-97.23989868
YWK,52.9219017,-66.86440277
YWL,52.18310165,-122.0540009
YWY,63.20940018,-123.4369965
YXC,49.6108017,-115.7819977
YXD,53.57249832,-113.5210037
YXE,52.17079926,-106.6999969
YXH,50.01890182,-110.7210007
YXJ,56.23809814,-120.7399979
YXL,50.11389923,-91.90529633
YXP,66.14499664,-65.71360016
YXR,47.69740065,-79.84734535
YXS,53.88940048,-122.6790009
YXT,54.468498,-128.576009
YXU,43.035599,-81.1539
YXX,49.02529907,-122.3610001
YXY,60.70959854,-135.0670013
YYB,46.363602,-79.422798
YYC,51.11389923,-114.0199966
YYD,54.8246994,-127.1829987
YYE,58.83639908,-122.5970001
YYF,49.46310043,-119.6019974
YYG,46.29000092,-63.12110138
YYH,69.54669952,-93.5766983
YYJ,48.64690018,-123.4260025
YYL,56.86389923,-101.0759964
YYN,50.29190063,-107.6910019
YYQ,58.73920059,-94.06500244
YYR,53.31919861,-60.42580032
YYT,47.61859894,-52.75189972
YYU,49.41389847,-82.46749878
YYW,50.29029846,-88.90969849
YYY,48.60860062,-68.20809937
YYZ,43.67720032,-79.63059998
YZD,43.74250031,-79.46559906
YZE,45.88529968,-82.56780243
YZF,62.46279907,-114.4400024
YZH,55.29309845,-114.7770004
